date,Location,nutrient,mean,median,std,IQR,min,max
2019-12,Ocean,Silica,1.86,1.86,NA,0,1.86,1.86
2019-12,Ocean,Iron,0,0,0,0,0,0
2019-12,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-01,Ocean,Turbidity,0.6,0,0.89,1,0,2
2020-01,Ocean,Phosphate,0.06,0.03,0.07,0.12,0,0.14
2020-01,Ocean,Nitrate MR,0.48,0.5,0.08,0.1,0.4,0.6
2020-01,Ocean,Nitrate HR,1.12,0.9,0.98,0.4,0.3,2.8
2020-01,Ocean,pH,8.48,8.48,0.04,0.03,8.46,8.51
2020-01,Ocean,Alkalinity,133.4,135,3.21,2,128,136
2020-01,Ocean,Silica,1.46,1.61,0.32,0.18,0.99,1.63
2020-01,Ocean,Iron,0,0,0,0,0,0
2020-01,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-02,Ocean,Turbidity,0,0,0,0,0,0
2020-02,Ocean,Phosphate,0.03,0.04,0.02,0.02,0,0.05
2020-02,Ocean,Nitrate MR,0.5,0.5,0.08,0.05,0.4,0.6
2020-02,Ocean,Nitrate HR,0.68,0.6,0.22,0.12,0.5,1
2020-02,Ocean,pH,8.54,8.54,0.02,0.02,8.53,8.56
2020-02,Ocean,Alkalinity,134.33,134,2.52,2.5,132,137
2020-02,Ocean,Silica,1.66,1.81,0.27,0.23,1.35,1.82
2020-02,Ocean,Iron,0,0,0,0,0,0
2020-02,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-03,Ocean,Turbidity,0,0,0,0,0,0
2020-03,Ocean,Phosphate,0.05,0.04,0.02,0.02,0.02,0.07
2020-03,Ocean,Nitrate MR,0.72,0.65,0.26,0.22,0.5,1.1
2020-03,Ocean,Nitrate HR,1.1,1.2,0.2,0.1,0.8,1.2
2020-03,Ocean,pH,8.31,8.18,0.23,0.2,8.17,8.57
2020-03,Ocean,Alkalinity,131.75,131.5,1.71,1.75,130,134
2020-03,Ocean,Silica,1.33,1.33,0.11,0.07,1.26,1.41
2020-03,Ocean,Iron,0,0,0,0,0,0.01
2020-03,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-04,Ocean,Turbidity,0.5,0,1,0.5,0,2
2020-04,Ocean,Phosphate,0.02,0.02,0,0,0.02,0.03
2020-04,Ocean,Nitrate MR,0.55,0.55,0.06,0.1,0.5,0.6
2020-04,Ocean,Nitrate HR,0.87,0.9,0.15,0.15,0.7,1
2020-04,Ocean,pH,8.25,8.25,0.02,0.02,8.23,8.28
2020-04,Ocean,Alkalinity,144.25,148.5,11.03,8.25,128,152
2020-04,Ocean,Silica,1.71,1.7,0.07,0.07,1.64,1.78
2020-04,Ocean,Iron,0,0,0,0,0,0.01
2020-04,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-05,Ocean,Turbidity,0,0,0,0,0,0
2020-05,Ocean,Phosphate,0.05,0.05,0.03,0.04,0,0.08
2020-05,Ocean,Nitrate MR,0.65,0.65,0.13,0.15,0.5,0.8
2020-05,Ocean,Nitrate HR,1.18,0.95,0.64,0.58,0.7,2.1
2020-05,Ocean,pH,8.26,8.29,0.21,0.24,8.05,8.56
2020-05,Ocean,Alkalinity,124.4,124,8.29,10,112,132
2020-05,Ocean,Silica,0.99,0.78,0.49,0.37,0.63,1.82
2020-05,Ocean,Iron,0,0,0,0,0,0.01
2020-05,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-06,Ocean,Turbidity,0,0,0,0,0,0
2020-06,Ocean,Phosphate,0.04,0.04,0.02,0.01,0.02,0.06
2020-06,Ocean,Nitrate MR,0.78,0.75,0.1,0.13,0.7,0.9
2020-06,Ocean,Nitrate HR,1.25,1,0.57,0.3,0.9,2.1
2020-06,Ocean,pH,8.29,8.27,0.03,0.03,8.27,8.32
2020-06,Ocean,Alkalinity,120.25,123.5,8.26,5.25,108,126
2020-06,Ocean,Silica,0.47,0.48,0.05,0.04,0.4,0.52
2020-06,Ocean,Iron,0,0,0,0,0,0
2020-06,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-07,Ocean,Turbidity,0,0,0,0,0,0
2020-07,Ocean,Phosphate,0.04,0.05,0.04,0.04,0,0.11
2020-07,Ocean,Nitrate MR,0.72,0.7,0.26,0.2,0.4,1.1
2020-07,Ocean,Nitrate HR,0.84,0.6,0.59,0.5,0.3,1.8
2020-07,Ocean,pH,8.25,8.25,0.04,0.02,8.23,8.28
2020-07,Ocean,Alkalinity,128,127.5,5.35,4,122,135
2020-07,Ocean,Silica,0.51,0.52,0.08,0.06,0.41,0.62
2020-07,Ocean,Iron,0.01,0,0.02,0.02,0,0.03
2020-07,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-08,Ocean,Turbidity,0,0,0,0,0,0
2020-08,Ocean,Phosphate,0.04,0.01,0.07,0.04,0,0.15
2020-08,Ocean,Nitrate MR,1.35,1.5,0.47,0.55,0.7,1.7
2020-08,Ocean,Nitrate HR,1.55,1.6,0.17,0.1,1.3,1.7
2020-08,Ocean,pH,8.26,8.26,0.04,0.03,8.23,8.29
2020-08,Ocean,Alkalinity,126.25,126,2.87,1.75,123,130
2020-08,Ocean,Silica,0.37,0.36,0.07,0.11,0.31,0.44
2020-08,Ocean,Iron,0.02,0.02,0.02,0.03,0,0.03
2020-08,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-09,Ocean,Turbidity,0,0,0,0,0,0
2020-09,Ocean,Phosphate,0.03,0.02,0.02,0.01,0.01,0.05
2020-09,Ocean,Nitrate MR,1.5,1.5,0.16,0.1,1.3,1.7
2020-09,Ocean,Nitrate HR,1.8,1.8,0.41,0.25,1.3,2.3
2020-09,Ocean,pH,8.27,8.27,NA,0,8.27,8.27
2020-09,Ocean,Alkalinity,118.5,119,13.18,11,102,134
2020-09,Ocean,Silica,0.27,0.33,0.18,0.16,0.02,0.41
2020-09,Ocean,Iron,0,0,0,0,0,0
2020-09,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-10,Ocean,Turbidity,0,0,0,0,0,0
2020-10,Ocean,Phosphate,0.09,0.05,0.08,0.12,0,0.19
2020-10,Ocean,Nitrate MR,1.38,1.35,0.17,0.17,1.2,1.6
2020-10,Ocean,Nitrate HR,1.92,2,0.48,0.6,1.3,2.5
2020-10,Ocean,pH,8.22,8.22,0.06,0.09,8.15,8.28
2020-10,Ocean,Alkalinity,116.4,116,9.71,5,103,130
2020-10,Ocean,Silica,0.36,0.36,0.02,0,0.33,0.38
2020-10,Ocean,Iron,0.01,0,0.01,0.01,0,0.01
2020-10,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-11,Ocean,Turbidity,0,0,0,0,0,0
2020-11,Ocean,Phosphate,0.1,0.1,0.01,0.01,0.09,0.11
2020-11,Ocean,Nitrate MR,1.05,0.9,0.3,0.15,0.9,1.5
2020-11,Ocean,Nitrate HR,0.93,0.9,0.25,0.25,0.7,1.2
2020-11,Ocean,pH,8.15,8.14,0.03,0.03,8.13,8.19
2020-11,Ocean,Alkalinity,135.75,132.5,11.27,7.25,126,152
2020-11,Ocean,Silica,0.62,0.56,0.19,0.12,0.48,0.91
2020-11,Ocean,Iron,0,0,0,0,0,0
2020-11,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2020-12,Ocean,Turbidity,0,0,0,0,0,0
2020-12,Ocean,Phosphate,0.07,0.06,0.09,0.13,0,0.19
2020-12,Ocean,Nitrate MR,1.2,1.1,0.17,0.15,1.1,1.4
2020-12,Ocean,Nitrate HR,1.38,1.25,0.51,0.38,0.9,2.1
2020-12,Ocean,pH,8.08,8.08,0.01,0.02,8.07,8.1
2020-12,Ocean,Alkalinity,128.5,128.5,2.08,2,126,131
2020-12,Ocean,Silica,0.67,0.69,0.13,0.19,0.51,0.78
2020-12,Ocean,Iron,0.01,0,0.01,0,0,0.02
2020-12,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-01,Ocean,Turbidity,0,0,0,0,0,0
2021-01,Ocean,Phosphate,0.06,0.05,0.05,0.06,0,0.13
2021-01,Ocean,Nitrate MR,1.18,1.2,0.25,0.3,0.8,1.4
2021-01,Ocean,Nitrate HR,1.94,2.1,0.33,0.4,1.5,2.3
2021-01,Ocean,pH,8.1,8.1,0.03,0.04,8.07,8.14
2021-01,Ocean,Alkalinity,122.67,123,4.51,4.5,118,127
2021-01,Ocean,Silica,0.76,0.79,0.12,0.14,0.58,0.86
2021-01,Ocean,Iron,0,0,0,0,0,0
2021-01,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-02,Ocean,Turbidity,0,0,0,0,0,0
2021-02,Ocean,Phosphate,0.06,0.07,0.03,0.03,0.03,0.09
2021-02,Ocean,Nitrate MR,1.23,1.2,0.25,0.25,1,1.5
2021-02,Ocean,Nitrate HR,1.97,2.1,0.23,0.2,1.7,2.1
2021-02,Ocean,pH,8.23,8.17,0.11,0.1,8.16,8.35
2021-02,Ocean,Alkalinity,140.67,142,3.21,3,137,143
2021-02,Ocean,Silica,0.5,0.5,0,0,0.5,0.5
2021-02,Ocean,Iron,0,0,0,0,0,0
2021-02,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-03,Ocean,Turbidity,0.75,0,1.5,0.75,0,3
2021-03,Ocean,Phosphate,0.04,0.04,0.03,0.04,0,0.08
2021-03,Ocean,Nitrate MR,0.95,1,0.17,0.1,0.7,1.1
2021-03,Ocean,Nitrate HR,1.4,1.45,0.14,0.15,1.2,1.5
2021-03,Ocean,pH,8.27,8.26,0.05,0.04,8.23,8.34
2021-03,Ocean,Alkalinity,132.5,132.5,1.29,1.5,131,134
2021-03,Ocean,Silica,0.61,0.62,0.08,0.09,0.5,0.7
2021-03,Ocean,Iron,0,0,0,0,0,0.01
2021-03,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-04,Ocean,Turbidity,0,0,0,0,0,0
2021-04,Ocean,Phosphate,0.08,0.05,0.07,0.07,0.02,0.19
2021-04,Ocean,Nitrate MR,0.96,1,0.3,0.2,0.5,1.3
2021-04,Ocean,Nitrate HR,1.16,0.9,0.52,0.7,0.7,1.9
2021-04,Ocean,pH,8.26,8.24,0.08,0.07,8.19,8.4
2021-04,Ocean,Alkalinity,130.4,132,5.68,9,123,136
2021-04,Ocean,Silica,0.71,0.64,0.3,0.24,0.45,1.2
2021-04,Ocean,Iron,0,0,0,0,0,0
2021-04,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-05,Ocean,Turbidity,0,0,0,0,0,0
2021-05,Ocean,Phosphate,0.07,0.07,0.07,0.09,0,0.15
2021-05,Ocean,Nitrate MR,1.43,1.4,0.15,0.22,1.3,1.6
2021-05,Ocean,Nitrate HR,1.6,1.6,0.73,1,0.8,2.4
2021-05,Ocean,pH,8.34,8.36,0.05,0.04,8.27,8.38
2021-05,Ocean,Alkalinity,127.5,125,5,2.5,125,135
2021-05,Ocean,Silica,1.16,0.88,0.59,0.37,0.83,2.05
2021-05,Ocean,Iron,0,0,0,0,0,0.01
2021-05,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-06,Ocean,Turbidity,0,0,0,0,0,0
2021-06,Ocean,Phosphate,0.12,0.14,0.06,0.07,0.05,0.17
2021-06,Ocean,Nitrate MR,1.38,1.4,0.22,0.27,1.1,1.6
2021-06,Ocean,Nitrate HR,1.5,1.4,0.51,0.45,1,2.2
2021-06,Ocean,pH,8.24,8.23,0.03,0.04,8.21,8.27
2021-06,Ocean,Alkalinity,128.5,128.5,3.51,5.5,125,132
2021-06,Ocean,Silica,1.05,0.95,0.18,0.16,0.94,1.26
2021-06,Ocean,Iron,0.01,0,0.01,0.01,0,0.02
2021-06,Ocean,Ammonia,NA,NA,NA,NA,NA,NA
2021-07,Ocean,Turbidity,0,0,0,0,0,0
2021-07,Ocean,Phosphate,0.12,0.13,0.08,0.07,0,0.21
2021-07,Ocean,Nitrate MR,1.42,1.4,0.15,0.1,1.2,1.6
