Time,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePE,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePC,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Chlorophyll
7/13/16 6:30,79.025,26.1,7.9,25.4,40.8,128,26,130,0
7/13/16 6:45,79.025,26.1,7.9,25.4,40.8,129,14,148,0
7/13/16 7:00,79.025,26.1,7.9,25.4,40.8,129,17,126,0
7/13/16 7:15,79.025,26.1,7.9,25.4,40.8,126,11,199,0
7/13/16 7:30,79.025,26.1,7.9,25.4,40.8,129,17,238,0
7/13/16 7:45,79.025,26.1,7.9,25.4,40.8,129,15,268,0
7/13/16 8:00,78.9688,26.1,7.9,25.4,40.8,129,13,331,0
7/13/16 8:15,79.025,26.1,7.9,25.4,40.8,129,10,286,0
7/13/16 8:30,79.025,26.1,7.9,25.4,40.8,129,9,176,0
7/13/16 8:45,79.025,26.1,7.9,25.4,40.8,129,12,168,0
7/13/16 9:00,79.025,26.1,7.9,25.4,40.7,129,7,185,0
7/13/16 9:15,79.025,26.1,7.9,25.4,40.7,129,6,236,0
7/13/16 9:30,79.025,26.1,7.9,25.4,40.7,129,10,183,0
7/13/16 9:45,79.025,26.1,7.9,25.4,40.7,129,9,200,0
7/13/16 10:00,79.025,26.1,7.9,25.4,40.8,129,7,257,0
7/13/16 10:15,79.025,26.1,7.9,25.4,40.8,129,7,323,0
7/13/16 10:30,79.0812,26.2,7.9,25.4,40.8,129,6,127,0
7/13/16 10:45,79.0812,26.2,7.9,25.4,40.8,132,7,130,0
7/13/16 11:00,79.1375,26.2,7.9,25.4,40.8,129,7,128,0
7/13/16 11:15,79.1375,26.2,7.9,25.4,40.8,129,7,127,0
7/13/16 11:30,79.1375,26.2,7.9,25.4,40.8,129,7,219,0
7/13/16 11:45,79.1375,26.2,7.9,25.4,40.8,129,7,383,0
7/13/16 12:00,79.1938,26.2,7.9,25.4,40.8,129,5,364,0
7/13/16 12:15,79.1938,26.2,7.9,25.4,40.8,129,8,294,0
7/13/16 12:30,79.25,26.2,7.9,25.4,40.8,129,9,381,0
7/13/16 12:45,79.25,26.3,7.9,25.4,40.8,129,6,423,0
7/13/16 13:00,79.25,26.3,7.9,25.4,40.9,129,8,287,0
7/13/16 13:15,79.25,26.3,7.9,25.4,40.9,129,8,346,0
7/13/16 13:30,79.3063,26.3,7.9,25.4,40.9,128,7,243,0
7/13/16 13:45,79.3625,26.3,7.9,25.4,40.9,127,7,313,0
7/13/16 14:00,79.3625,26.3,7.9,25.4,40.9,130,10,264,0
7/13/16 14:15,79.3625,26.3,7.9,25.4,40.9,129,7,311,0
7/13/16 14:30,79.3625,26.3,7.9,25.4,40.9,127,7,339,0
7/13/16 14:45,79.3625,26.3,7.9,25.4,40.9,128,9,397,0
7/13/16 15:00,79.3625,26.3,7.9,25.4,40.9,128,8,334,0
7/13/16 15:15,79.3625,26.3,7.9,25.4,40.9,127,8,351,0
7/13/16 15:30,79.4188,26.3,7.9,25.4,40.9,128,9,283,0
7/13/16 15:45,79.3625,26.3,7.9,25.4,40.9,128,12,306,0
7/13/16 16:00,79.3625,26.3,7.9,25.4,40.9,127,7,271,0
7/13/16 16:15,79.3625,26.3,7.9,25.4,40.9,127,9,219,0
7/13/16 16:30,79.4188,26.3,7.9,25.4,40.9,127,9,139,0
7/13/16 16:45,79.3625,26.3,7.9,25.4,40.9,127,8,129,0
7/13/16 17:00,79.3625,26.3,7.9,25.4,40.9,126,8,135,0
7/13/16 17:15,79.3625,26.3,7.9,25.4,40.9,128,9,152,0
7/13/16 17:30,79.3625,26.3,7.9,25.4,40.9,127,8,226,0
7/13/16 17:45,79.3625,26.3,7.9,25.4,40.9,127,9,233,0
7/13/16 18:00,79.3063,26.3,7.9,25.4,40.9,127,8,279,0
7/13/16 18:15,79.3625,26.3,7.9,25.4,40.9,128,9,235,0
7/13/16 18:30,79.3625,26.3,7.9,25.4,40.9,125,7,496,0
7/13/16 18:45,79.3063,26.3,7.9,25.4,40.9,125,10,463,0
7/13/16 19:00,79.3063,26.3,7.9,25.4,40.9,127,10,324,0
7/13/16 19:15,79.25,26.3,7.9,25.4,40.9,125,10,210,0
7/13/16 19:30,79.25,26.3,7.9,25.4,40.9,126,8,210,0
7/13/16 19:45,79.25,26.3,7.9,25.4,40.8,125,9,176,0
7/13/16 20:00,79.25,26.3,7.9,25.4,40.8,125,10,217,0
7/13/16 20:15,79.25,26.3,7.9,25.4,40.8,124,11,128,0
7/13/16 20:30,79.1938,26.2,7.9,25.4,40.8,124,6,172,0
7/13/16 20:45,79.1938,26.2,7.9,25.4,40.8,124,9,196,0
7/13/16 21:00,79.1938,26.2,7.9,25.4,40.8,126,12,181,0
7/13/16 21:15,79.1375,26.2,7.9,25.4,40.8,125,9,219,0
7/13/16 21:30,79.1938,26.2,7.9,25.4,40.8,126,14,124,0
7/13/16 21:45,79.1938,26.2,7.9,25.4,40.8,126,17,135,0
7/13/16 22:00,79.1375,26.2,7.9,25.4,40.8,126,14,157,0
7/13/16 22:15,79.1938,26.2,7.9,25.4,40.8,125,19,91,0
7/13/16 22:30,79.1938,26.2,7.9,25.4,40.8,125,12,248,0
7/13/16 22:45,79.1375,26.2,7.9,25.4,40.8,124,11,190,0
